movie_id,movie_title,released_date,about,streaming on,subscription ,language,no.of reviews,ratings,award_name,true_story,companies
13736,Superman Returns,2006-06-28,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",hulu,yes,English,1400,5.4,FALSE,FALSE, DC Comics    Legendary Pictures    Warner Bros.    Bad Hat Harry Productions  
14715,Quantum of Solace,2008-10-30,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",hulu ,yes,English,2965,6.1,FALSE,FALSE, Eon Productions  
45746,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",netflix,yes,English,5246,7,FALSE,FALSE, Walt Disney Pictures    Jerry Bruckheimer Films    Second Mate Productions  
49061,The Lone Ranger,2013-07-03,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",hulu,yes,English,2311,5.9,FALSE,FALSE, Walt Disney Pictures    Jerry Bruckheimer Films    Infinitum Nihil    Silver Bullet Productions (II)    Blind Wink Productions    Classic Media  
12516,Man of Steel,2013-06-12,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",prime,yes,English,6359,6.5,FALSE,FALSE, Legendary Pictures    Warner Bros.    DC Entertainment    Syncopy    Cruel and Unusual Films  
52526,The Chronicles of Narnia: Prince Caspian,2008-05-15,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",prime,yes,English,1630,6.3,FALSE,FALSE, Walt Disney    Walden Media    Stillking Films    Ozumi Films    Propeler    Silverbell Films    Revolution Sun Studios  
12900,The Avengers,2012-04-25,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",netflix,yes,English,11776,7.4,TRUE,FALSE, Paramount Pictures    Marvel Studios  
28995,Pirates of the Caribbean: On Stranger Tides,2011-05-14,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",netflix,yes,English,4948,6.4,FALSE,FALSE, Walt Disney Pictures    Jerry Bruckheimer Films    Moving Picture Company (MPC)  
95636,Men in Black 3,2012-05-23,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",hulu,yes,English,4160,6.2,FALSE,FALSE, Amblin Entertainment    Media Magik Entertainment    Imagenation Abu Dhabi FZ    Hemisphere Media Capital    Parkes/MacDonald Productions  
45599,The Hobbit: The Battle of the Five Armies,2014-12-10,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",hulu,yes,English,4760,7.1,FALSE,FALSE, WingNut Films    New Line Cinema    Warner Bros. Pictures    Foot    Metro-Goldwyn-Mayer (MGM)  
82310,The Amazing Spider-Man,2012-06-27,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",hulu ,yes,English,6586,6.5,FALSE,FALSE, Columbia Pictures    Laura Ziskin Productions    Marvel Entertainment  
12298,Robin Hood,2010-05-12,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",netflix,yes,English,1398,6.2,FALSE,TRUE, Imagine Entertainment    Universal Pictures    Scott Free Productions    Relativity Media  
76013,The Hobbit: The Desolation of Smaug,2013-12-11,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",hulu,yes,English,4524,7.6,TRUE,FALSE, WingNut Films    New Line Cinema    Warner Bros. Pictures    Metro-Goldwyn-Mayer (MGM)  
71535,The Golden Compass,2007-12-04,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",prime,yes,English,1303,5.8,FALSE,FALSE, New Line Cinema    Ingenious Film Partners    Depth of Field    Scholastic Productions  
73688,King Kong,2005-12-14,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",prime,yes,English,2337,6.6,FALSE,FALSE, WingNut Films    Universal Pictures    Big Primate Pictures    MFPV Film  
41019,Titanic,1997-11-18,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",netflix,yes,English,7562,7.5,TRUE,FALSE, Paramount Pictures    Twentieth Century Fox Film Corporation    Lightstorm Entertainment  
26043,Captain America: Civil War,2016-04-27,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",netflix,yes,English,7241,7.1,FALSE,FALSE, Studio Babelsberg    Marvel Studios    Walt Disney Studios Motion Pictures    Vita-Ray Dutch Productions (III)    Deluxe Digital Studios  
84995,Battleship,2012-04-11,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",hulu,yes,English,2114,5.5,FALSE,FALSE, Universal Pictures    Hasbro    Bluegrass Films    Film   
27424,Jurassic World,2015-06-09,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",hulu,yes,English,8662,6.5,FALSE,FALSE, Universal Studios    Amblin Entertainment    Legendary Pictures    Fuji Television Network    Dentsu  
53458,Skyfall,2012-10-25,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",hulu ,yes,English,7604,6.9,FALSE,FALSE, Columbia Pictures  
53670,Spider-Man 2,2004-06-25,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",netflix,yes,English,4321,6.7,FALSE,FALSE, Columbia Pictures    Laura Ziskin Productions    Marvel Enterprises  
93183,Iron Man 3,2013-04-18,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",hulu,yes,English,8806,6.8,FALSE,FALSE, Marvel Studios  
90156,Alice in Wonderland,2010-03-03,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",prime,yes,English,4645,6.4,FALSE,FALSE, Walt Disney Pictures    Team Todd    Tim Burton Productions    Roth Films    Zanuck Company The  
85642,X-Men: The Last Stand,2006-05-24,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",prime,yes,English,3525,6.3,FALSE,FALSE, Ingenious Film Partners    Twentieth Century Fox Film Corporation    Donners' Company    Dune Entertainment    Major Studio Partners    Bad Hat Harry Productions    thinkfilm    Marvel Enterprises    X Canada Productions    XUS Productions    XM Service  
25461,Monsters University,2013-06-20,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,netflix,yes,English,3528,7,FALSE,FALSE, Walt Disney Pictures    Pixar Animation Studios  
31799,Transformers: Revenge of the Fallen,2009-06-19,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",netflix,yes,English,3138,6,FALSE,FALSE, Paramount Pictures    DreamWorks SKG    Amblin Entertainment    Di Bonaventura Pictures    Platinum Dunes    Hasbro Studios    Revolution Sun Studios  
11570,Transformers: Age of Extinction,2014-06-25,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",hulu,yes,English,3095,5.8,FALSE,FALSE, Paramount Pictures    Amblin Entertainment    Di Bonaventura Pictures    Platinum Dunes    China Movie Channel    Hasbro Studios    Ian Bryce Productions    Revolution Sun Studios  
49377,Oz: The Great and Powerful,2013-03-07,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",hulu,yes,English,3530,5.7,FALSE,FALSE, Walt Disney Pictures    Roth Films  
32430,The Amazing Spider-Man 2,2014-04-16,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",hulu ,yes,English,4179,6.5,FALSE,FALSE, Columbia Pictures    Marvel Enterprises    Avi Arad Productions    Matt Tolmach Productions  
15323,TRON: Legacy,2010-12-10,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",netflix,yes,English,2841,6.3,FALSE,FALSE, Walt Disney Pictures    LivePlanet    Prana Studios    Sean Bailey Productions    Revolution Sun Studios    Kontsept Film Company  
53933,Cars 2,2011-06-11,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,hulu,yes,English,2033,5.8,FALSE,FALSE, Walt Disney Pictures    Pixar Animation Studios  
55758,Green Lantern,2011-06-16,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",prime,yes,English,2487,5.1,FALSE,FALSE, De Line Pictures    Warner Bros.    DC Entertainment  
87107,Toy Story 3,2010-06-16,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",prime,yes,English,4597,7.6,FALSE,FALSE, Walt Disney Pictures    Pixar Animation Studios  
45646,Terminator Salvation,2009-05-20,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",netflix,yes,English,2463,5.9,FALSE,FALSE, Columbia Pictures    The Halcyon Company    Wonderland Sound and Vision    Warner Bros.  
93339,Furious 7,2015-04-01,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,netflix,yes,English,4176,7.3,FALSE,FALSE, Universal Pictures    Original Film    Fuji Television Network    Dentsu    One Race Films    China Film Co.    Qu\uebec Production Services Tax Credit    Media Rights Capital (MRC)    Abu Dhabi Film Commission    Colorado Office of Film Television & Media  
92323,World War Z,2013-06-20,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",hulu,yes,English,5560,6.7,FALSE,FALSE, Paramount Pictures    GK Films    Skydance Productions    Hemisphere Media Capital    Apparatus Productions    Latina Pictures    DUX\ub  
47055,X-Men: Days of Future Past,2014-05-15,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,hulu,yes,English,6032,7.5,TRUE,FALSE, Twentieth Century Fox Film Corporation    Donners' Company    Marvel Entertainment    Bad Hat Harry Productions    TSG Entertainment    Down Productions    Revolution Sun Studios  
87119,Star Trek Into Darkness,2013-05-05,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",hulu ,yes,English,4418,7.4,TRUE,FALSE, Paramount Pictures    Skydance Productions    Bad Robot    Kurtzman/Orci  
16439,Jack the Giant Slayer,2013-02-27,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",netflix,yes,English,2598,5.5,FALSE,FALSE, New Line Cinema    Original Film    Legendary Pictures    Warner Bros.    Big K Pictures    Bad Hat Harry Productions  
48595,The Great Gatsby,2013-05-10,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",hulu,yes,English,3769,7.3,FALSE,FALSE, Village Roadshow Pictures    Bazmark Films    Warner Bros.    A&E Television Networks    Red Wagon Entertainment    Spectrum Films  
80601,Prince of Persia: The Sands of Time,2010-05-19,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",prime,yes,English,2317,6.2,FALSE,FALSE, Walt Disney Pictures    Jerry Bruckheimer Films  
76236,Pacific Rim,2013-07-11,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",prime,yes,English,4794,6.7,FALSE,FALSE, Legendary Pictures    Warner Bros.    Disney Double Dare You (DDY)    Indochina Productions  
55014,Transformers: Dark of the Moon,2011-06-28,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",netflix,yes,English,3299,6.1,FALSE,FALSE, Paramount Pictures    Di Bonaventura Pictures    Indochina Productions    Hasbro Studios  
62964,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",netflix,yes,English,2495,5.7,FALSE,FALSE, Lucasfilm    Paramount Pictures  
80564,The Good Dinosaur,2015-11-14,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,hulu,yes,English,1736,6.6,FALSE,FALSE, Walt Disney Pictures    Pixar Animation Studios  
85997,Brave,2012-06-21,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",hulu,yes,English,4641,6.7,FALSE,FALSE, Walt Disney Pictures    Pixar Animation Studios  
97735,Star Trek Beyond,2016-07-07,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",hulu ,yes,English,2568,6.6,FALSE,FALSE, Paramount Pictures    Bad Robot    Perfect Storm Entertainment    Alibaba Pictures Group    Skydance Media    Sneaky Shark    Huahua Media  
44854,WALL·E,2008-06-22,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",netflix,yes,English,6296,7.8,FALSE,FALSE, Walt Disney Pictures    Pixar Animation Studios    FortyFour Studios  
46788,Rush Hour 3,2007-08-08,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",hulu,yes,English,783,6.1,FALSE,FALSE, New Line Cinema  
41822,2012,2009-10-10,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",prime,yes,English,4903,5.6,FALSE,TRUE, Columbia Pictures    Centropolis Entertainment    The Mark Gordon Company    Farewell Productions  
51516,A Christmas Carol,2009-11-04,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",prime,yes,English,1095,6.6,FALSE,FALSE, Walt Disney    ImageMovers  
98760,Jupiter Ascending,2015-02-04,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",netflix,yes,English,2768,5.2,FALSE,FALSE, Village Roadshow Pictures    Dune Entertainment    Anarchos Productions    Warner Bros.  
64975,The Legend of Tarzan,2016-06-29,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",netflix,yes,English,2430,5.5,FALSE,FALSE, Village Roadshow Pictures    Dark Horse Entertainment    Jerry Weintraub Productions    RatPac-Dune Entertainment    Beagle Pug Films    Riche Productions    Village Roadshow Films North America  
87690,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",hulu,yes,English,2629,6.7,FALSE,FALSE, Walt Disney    Walden Media  
16279,X-Men: Apocalypse,2016-05-18,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",hulu,yes,English,4721,6.4,FALSE,FALSE, Twentieth Century Fox Film Corporation    Donners' Company    Marvel Entertainment    Bad Hat Harry Productions    TSG Entertainment    Kinberg Genre  
41096,The Dark Knight,2008-07-16,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",hulu ,yes,English,12002,8.2,FALSE,FALSE, DC Comics    Legendary Pictures    Warner Bros.    DC Entertainment    Syncopy  
18747,Up,2009-05-13,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",netflix,yes,English,6870,7.7,FALSE,FALSE, Pixar Animation Studios  
83597,Monsters vs Aliens,2009-03-19,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...",hulu,yes,English,1423,6,FALSE,FALSE, DreamWorks Animation  
